ticker,sector,undervaluation_score,V_abs,V_rel,quality_bonus_pts,risk_penalty_pts,redflag_pts,sector_relief_pts,pe_ttm,ev_ebitda,pb,ps,fcf_yield,roe_calc,ebitda_margin,net_debt_ebitda,interest_coverage,mkt_cap,ev,price_now,shares_diluted_latest,revenue_ttm,net_income_ttm,ebitda_ttm,equity_latest,debt_total_latest,cash_and_equivalents,current_ratio
CCL,ENERGY & TRANSPORTATION,4.5,3.7240499102639717,4.664275122568033,0.36322273941721633,1.0719857142857143,0.5,0.0,14.310100541376645,6.083065264753245,3.698003397621665,0.8534575645756458,0.0947145753976661,0.25841910662536227,0.24347324723247232,2.577720943449844,12.668789808917197,37005920000.0,64218920000.0,28.12,1316000000.0,43360000000.0,2586000000.0,10557000000.0,10007000000.0,29359000000.0,2146000000.0,0.336609907120743
JBHT,ENERGY & TRANSPORTATION,4.5,4.059614106031803,5.102587892140131,0.4150862068965517,0.8259,0.5,0.0,15.689805320648345,6.018699915262665,3.8981032081918734,,0.09741780208900455,0.24844815652759122,,0.6308825047463873,10.316011214897221,14248853600.0,15917312600.0,143.6,99226000.0,,908160000.0,2644643000.0,3655330000.0,1719360000.0,50901000.0,0.8725570222129801
LUV,ENERGY & TRANSPORTATION,4.6,4.662427856473905,5.676660510790641,0.7643298092176671,0.8199248120300752,0.5,0.0,55.1089156626506,7.540567867036011,2.28702,0.38198968620164103,,0.0415,0.060296051944798215,1.205332409972299,,18296160000.0,21777160000.0,32.44,564000000.0,47897000000.0,332000000.0,2888000000.0,8000000000.0,6956000000.0,3475000000.0,0.559309585016526
VLO,ENERGY & TRANSPORTATION,4.6,4.904984193921025,6.130673038135725,0.6885775862068966,1.0248270676691729,0.0,0.0,15.428478181151448,12.28695394559655,1.7473818423457095,,,0.11325691502616496,,0.9555615405332615,3.6857727737973387,42073459999.99999,45621459999.99999,134.42,313000000.0,,2727000000.0,3713000000.0,24078000000.0,8085000000.0,4537000000.0,1.6218573277917832
EXPE,ENERGY & TRANSPORTATION,4.7,4.480728375795499,5.331179678530425,0.31370517450112717,0.6273992481203008,0.5,0.0,18.956526594142257,7.2456182652757075,27.096948899521532,0.9417189474121804,0.4243240727335599,1.4294258373205742,0.13947204323425483,0.49359165424739193,31.177419354838708,22653049280.0,24309049280.0,168.68,134296000.0,24055000000.0,1195000000.0,3355000000.0,836000000.0,7960000000.0,6304000000.0,0.7511471397981034
D,ENERGY & TRANSPORTATION,4.8,3.755943251389728,4.671093143947622,0.32143326793019955,1.3003759398496242,0.5,0.0,9.579527728085868,8.101180463433543,1.770883850817564,1.827630034129693,,0.18486128972992835,0.44023511566173684,3.94969420277371,,48194604000.0,94046604000.0,56.52,852700000.0,26370000000.0,5031000000.0,11609000000.0,27215000000.0,46196000000.0,344000000.0,0.6658370824160046
NCLH,ENERGY & TRANSPORTATION,4.9,5.020922671464939,5.276773357743508,0.22887931034482759,0.5760315789473685,0.5,0.0,14.173696390543444,2.5203907413241198,5.735282391406564,,0.027863144735434477,0.4046426728339609,,0.3325878573284334,37.48420121713583,9001927183.08,10370392183.08,20.28,443882011.0,,635115000.0,4114597000.0,1569570000.0,1552480000.0,184015000.0,0.18356987810464034
PNW,ENERGY & TRANSPORTATION,4.9,4.375312783863475,5.197893555869302,0.4685230024213075,1.1073563909774438,0.5,0.0,,12.758502558426816,1.62018025690716,1.236852268875157,,,0.18805651978665774,6.181478426116411,19.127503376311566,10898609110.0,21141770110.0,89.47,121813000.0,8811569000.0,,1657073000.0,6726788000.0,10262002000.0,18841000.0,0.5216754463209776
PCG,ENERGY & TRANSPORTATION,5.0,4.582809694086028,4.828289822004841,0.4467312348668281,1.2231654135338346,0.5,0.0,,11.071606987981662,0.9838369781312127,0.7384341756919375,-0.16244083653119717,,0.19424789410348978,7.270102837318795,11.288111888111889,30681940000.0,89358940000.0,13.94,2201000000.0,41550000000.0,,8071000000.0,31186000000.0,59171000000.0,494000000.0,0.9367315415508186
EXC,ENERGY & TRANSPORTATION,5.1,4.314438525384077,4.391923721762808,0.16343825665859554,1.2428571428571429,0.5,0.0,,6.515500821018063,1.5893417813178856,1.049203374841655,-0.09166783985099876,,0.3347833361218002,3.3815235239523096,,43897620000.0,91262620000.0,43.42,1011000000.0,41839000000.0,,14007000000.0,27620000000.0,48089000000.0,724000000.0,0.9475753604193972
SO,ENERGY & TRANSPORTATION,5.1,5.389597001188091,6.3868964687994545,0.4088516009852217,0.3631578947368421,0.5,0.0,15.33501433096998,7.477490042779171,2.7222915216110546,2.0380482768299286,-0.014558931752154648,0.1775212897006052,0.27181779907375847,-0.020356984806018587,,101655810000.0,101379810000.0,91.83,1107000000.0,49879000000.0,6629000000.0,13558000000.0,37342000000.0,988000000.0,1264000000.0,0.7413177762525738
ES,ENERGY & TRANSPORTATION,5.2,4.272357311968483,4.468727939693425,0.14818401937046008,1.3329789473684213,0.5,0.0,,6.544800321613944,1.4956845040560032,1.0257818727303762,-0.12596179492706724,,0.3428201448662905,3.5526136368715404,2.7338808306375872,23431080842.48,51250727842.479996,63.62,368297404.0,22842167000.0,,7830755000.0,15665791000.0,28163340000.0,343693000.0,0.7128043366104971
EVRG,ENERGY & TRANSPORTATION,5.2,4.5321930456125585,4.835324553169703,0.36544653293813145,1.326827819548872,0.5,0.0,11.542137041573602,6.442188948781083,1.6085604691328275,1.6386051840183304,-0.09272546445756913,0.13936418042334417,0.46113009144657435,2.8887336128302388,2.435497919287719,16019332000.000002,29042032000.0,68.93,232400000.0,9776200000.0,1387900000.0,4508100000.0,9958800000.0,13050500000.0,27800000.0,0.5028844080224283
NRG,ENERGY & TRANSPORTATION,5.2,4.897294047924016,5.695747160765817,0.38867073348918757,0.9730939849624061,0.5,0.0,18.375276211950396,10.289924062648316,14.247263986013987,0.635297304671513,0.10945544077595562,0.7753496503496503,0.08212663951199548,2.554342667299478,24.592105263157894,32597740000.000004,43361740000.0,160.58,203000000.0,51311000000.0,1774000000.0,4214000000.0,2288000000.0,10944000000.0,180000000.0,0.9332650039858786
NSC,ENERGY & TRANSPORTATION,5.3,5.026984045557883,6.330560108759736,0.24300873549302832,0.6697601503759398,0.5,0.0,15.26625092445853,6.728678560689586,3.908705349293298,2.7128855198310258,0.0648638069403962,0.25603570703996753,0.46829382773996714,0.9355517690688584,37.72139303482587,57798026000.0,67132026000.0,255.97,225800000.0,21305000000.0,3786000000.0,9977000000.0,14787000000.0,10637000000.0,1303000000.0,0.7927461139896373
CMS,ENERGY & TRANSPORTATION,5.4,4.807659740938052,5.939645367238651,0.4727310678801036,1.1431398496240601,0.5,0.0,11.850526315789475,14.065469448584203,2.467800810102454,1.4985690515806989,0.07130195339352885,0.20824398379795092,0.1941691383925342,6.347615499254844,15.163841807909604,20714720000.0,37751720000.0,69.28,299000000.0,13823000000.0,1748000000.0,2684000000.0,8394000000.0,17881000000.0,844000000.0,0.9990613266583229
EXE,ENERGY & TRANSPORTATION,5.4,5.724731301768757,6.458189968814969,0.7057198171495367,0.8104443609022556,0.5,0.0,23.666138200168206,20.523683482649844,1.5687706037798963,2.009070278452092,0.06862352501320308,0.06628756202263478,0.11316578609167499,2.770347003154574,83.42105263157895,28139038320.0,32530038320.0,116.94,240628000.0,14006000000.0,1189000000.0,1585000000.0,17937000000.0,5122000000.0,731000000.0,0.7770177838577291
NEE,ENERGY & TRANSPORTATION,5.4,4.505043298512345,6.294892481459645,0.46357758620689654,1.2563909774436093,0.5,0.0,12.478163265306122,9.172277709138735,2.816595861960352,,,0.22572199145618835,,3.470049021561516,,143074620000.0,230141620000.0,69.42,2061000000.0,,11466000000.0,25091000000.0,50797000000.0,88795000000.0,1728000000.0,0.5420662125222372
PPL,ENERGY & TRANSPORTATION,5.4,4.781628973805239,5.147894622521488,0.39208743842364535,1.318078195488722,0.5,0.0,13.199701354330708,7.3786212941176474,1.760144972700546,1.6301738139384117,-0.04859729770041389,0.13334733305333893,0.3747163695299838,3.0282006920415223,2.660889223813112,25145431080.0,42648431080.0,33.89,741972000.0,15425000000.0,1905000000.0,5780000000.0,14286000000.0,17797000000.0,294000000.0,0.5871836078746484
CSX,ENERGY & TRANSPORTATION,5.5,5.218671769374383,6.485931633412976,0.25109141479502384,0.6879699248120299,0.5,0.0,17.068139599555064,7.881077728462501,4.958958552153188,2.4555723144628927,0.0685272650045139,0.2905389028035873,0.3515503100620124,0.8960965062023444,,61377030000.00001,69251030000.0,32.63,1881000000.0,24995000000.0,3596000000.0,8787000000.0,12377000000.0,9832000000.0,1958000000.0,0.7727120348642307
NI,ENERGY & TRANSPORTATION,5.5,5.001845703768723,5.6309928398547795,0.3737217688068798,1.1711684210526316,0.5,0.0,11.270382727003847,8.570713845555087,2.1449571629608783,1.8084689422127724,-0.052197649641397684,0.1903180410920349,0.29266648948287644,2.3914312587163105,6.27707654723127,19052582000.0,26426082000.0,40.34,472300000.0,10535200000.0,1690500000.0,3083300000.0,8882500000.0,7708900000.0,335400000.0,0.5857632681768895
DUK,ENERGY & TRANSPORTATION,5.6,5.337194831895305,5.694195860613771,0.6051724137931035,1.3162646616541354,0.5,0.0,11.396643878185209,12.625353107344633,1.8016152168359827,,-0.03682132495691818,0.15808296162386276,,6.150353107344633,5.612366230677765,91686000000.0,178775000000.0,118.0,777000000.0,,8045000000.0,14160000000.0,50891000000.0,87433000000.0,344000000.0,0.6599304650152108
